0.985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9925,1,1,1,1,0.97833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9875,1,1,1,0.9575,0.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.9975,1,0.995,1,1,1,1,1,1,1,0.9975,0.99,1,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99667,1,1,1,0.9875,1,0.99,1,1,1,1,1,1,0.9925,1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0.125,0,0,0,0,0,0,0,0.000625,0.135,0.0092857,0,0,0,0,0,0,0.23,0.31125,0.31643,0.089286,0.00071429,0,0,0,0,0,0.003125,0.054286,0,0,0,0,0,0,0,0.20938,0,0,0,0,0,0,0,0,0.044375,0.017143,0,0,0,0,0,0,0,0.10375,0.098571,0.057143,0,0,0,0,0,0,0.1075,0,0,0,0,0,0,0.084375,0.22,0.25875,0.115,0.10286,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.21313,0.18071,0,0,0,0,0,0,0,0.16688,0,0,0,0,0,0,0.001875,0.2325,0.37812,0.04,0,0,0.00071429,0,0,0,0.005625,0.12625,0.22143,0,0,0,0,0,0,0,0.165,0.018571,0,0,0,0,0,0,0.11438,0.145,0,0,0,0,0,0,0,0.024375,0.175,0.067857,0,0,0,0,0,0,0,0.13,0,0.10929,0,0,0,0,0,0,0.12812,0.021429,0,0,0,0,0,0,0,0.09875,0,0,0,0,0,0,0,0.25,0.25,0.13429,0,0,0,0,0,0,0,0.17813,0.11786,0.11714,0.115,0.12286,0,0,0,0,0.11063,0.083571,0.081429,0,0,0,0,0,0,0.004375,0,0,0,0,0,0,0,0,0.205,0.097857,0.10286,0.032857,0.0021429
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1
0.017241,0.017241,0.017241,0.034483,0.034483,0.034483,0.017241,0.017241,0.017241,0.017241,0.034483,0.034483,0.051724,0.10345,0.051724,0.051724,0.034483,0,0.017241,0.017241,0.017241,0.051724,0.068966,0.086207,0.034483,0.017241,0,0.017241,0.034483,0.034483,0.017241,0.017241,0.034483,0,0,0,0,0.034483,0.017241,0.034483,0.017241,0.017241,0.034483,0.017241,0.017241,0.017241,0.017241,0.017241,0.017241,0.051724,0.051724,0.034483,0.034483,0,0.017241,0.017241,0.034483,0.017241,0.051724,0.034483,0.034483,0.017241,0.017241,0.017241,0.017241,0.017241,0.017241,0.051724,0.034483,0.034483,0.017241,0.017241,0.017241,0.017241,0.034483,0.051724,0.051724,0.034483,0.034483,0.017241,0,0.017241,0.017241,0.017241,0.034483,0.051724,0.017241,0.017241,0.017241,0.017241,0.017241,0.017241,0.017241,0.017241,0.12069,0.12069,0.051724,0.034483,0,0.017241,0.017241,0.034483,0.017241,0.051724,0.051724,0.034483,0.017241,0.017241,0.017241,0.017241,0,0.068966,0.10345,0.034483,0.017241,0,0,0.017241,0.034483,0.034483,0.051724,0.086207,0.12069,0.034483,0.017241,0.017241,0.017241,0.017241,0.017241,0.034483,0.068966,0.051724,0.034483,0.017241,0,0.017241,0.017241,0.017241,0.051724,0.034483,0.051724,0.034483,0.034483,0,0.017241,0.017241,0.017241,0.051724,0.051724,0.051724,0.017241,0.034483,0,0.017241,0.017241,0,0.034483,0.051724,0.034483,0.034483,0.034483,0.017241,0.017241,0.034483,0.034483,0.034483,0.086207,0.051724,0.034483,0.034483,0.017241,0.017241,0.017241,0.017241,0.017241,0.034483,0.034483,0.017241,0.017241,0,0.017241,0.017241,0.017241,0.017241,0,0.017241,0,0,0.017241,0,0,0.017241,0.017241,0.086207,0.034483,0.034483,0.034483,0.017241,0.017241,0.017241,0,0,0.10345,0.017241,0.017241,0,0,0.017241,0.017241,0.017241,0.034483,0.034483,0.034483,0.034483,0.017241,0.017241,0.017241,0.034483,0.017241,0.017241,0.068966,0.086207,0.068966,0.017241,0.017241
0.98507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99751,0.99751,1,1,1,1,0.99254,1,1,1,0.99751,0.97674,1,1,1,1,1,1,1,1,0.99834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99751,0.99834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99751,0.99751,0.99834,1,1,1,0.98756,1,1,1,0.95771,0.97508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99005,1,1,0.99502,0.99751,0.99336,1,1,1,1,1,1,1,0.99751,0.99003,1,1,0.77907,1,1,1,1,0.99751,1,1,1,1,1,1,1,1,1,0.99668,1,1,1,0.98756,1,0.99005,0.99751,1,1,1,1,0.99834,0.99254,1,1,1,0.9403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99751,0.99751,0.99834,1,0.99834,1,1,1,0.99751,0.99751,0.99751,0.99834,0.99834,0.99834,0.99834,1,1,0.99751,0.99751,0.8408,1,1,1,0.99834,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99751,0.99834,0.99834,1,1
0.00060314,0.00060314,0.00060314,0.0012063,0.12183,0.0013717,0.00068587,0.00068587,0.00068587,0.00060314,0.0012063,0.0012063,0.0024125,0.1339,0.010974,0.0020576,0.0013717,0,0.00060314,0.00060314,0.00060314,0.22376,0.30277,0.30727,0.087106,0.0013717,0,0.00060314,0.0012063,0.0012063,0.00060314,0.0036188,0.053498,0,0,0,0,0.0012063,0.00060314,0.0012063,0.20265,0.00068587,0.0013717,0.00068587,0.00068587,0.00060314,0.00060314,0.00060314,0.00060314,0.044632,0.018519,0.0013717,0.0013717,0,0.00060314,0.00060314,0.0012063,0.00060314,0.10193,0.096022,0.056241,0.00068587,0.00068587,0.00060314,0.00060314,0.00060314,0.00060314,0.10555,0.0013717,0.0013717,0.00068587,0.00068587,0.00060314,0.00060314,0.08263,0.21411,0.25151,0.1118,0.10014,0.00068587,0,0.00060314,0.00060314,0.00060314,0.0012063,0.12244,0.00068587,0.00068587,0.00068587,0.00068587,0.00060314,0.00060314,0.00060314,0.00060314,0.20989,0.17833,0.0020576,0.0013717,0,0.00060314,0.00060314,0.0012063,0.00060314,0.16285,0.0020576,0.0013717,0.00068587,0.00068587,0.00060314,0.00060314,0.0018094,0.22678,0.36852,0.039781,0.00068587,0,0.00068587,0.00060314,0.0012063,0.0012063,0.0072376,0.12485,0.21742,0.0013717,0.00068587,0.00068587,0.00060314,0.00060314,0.00060314,0.0012063,0.16164,0.01989,0.0013717,0.00068587,0,0.00060314,0.00060314,0.00060314,0.11218,0.14113,0.0020576,0.0013717,0.0013717,0,0.00060314,0.00060314,0.00060314,0.025332,0.17069,0.067215,0.00068587,0.0013717,0,0.00060314,0.00060314,0,0.0012063,0.12726,0.0013717,0.10631,0.0013717,0.00068587,0.00060314,0.0012063,0.0012063,0.0012063,0.12666,0.022634,0.0013717,0.0013717,0.00068587,0.00060314,0.00060314,0.00060314,0.00060314,0.096502,0.0013717,0.00068587,0.00068587,0,0.00060314,0.00060314,0.00060314,0.24186,0.24125,0.12963,0,0,0.00068587,0,0,0.00060314,0.00060314,0.17491,0.11454,0.11385,0.1118,0.11866,0.00060314,0.00060314,0,0,0.11037,0.080933,0.078875,0,0,0.00060314,0.00060314,0.00060314,0.0012063,0.0054282,0.0013717,0.0013717,0.00068587,0.00068587,0.00060314,0.0012063,0.00060314,0.00060314,0.20024,0.097394,0.10151,0.032236,0.0027435
1,1,1,1,0.98966,1,1,1,1,1,1,1,1,0.99164,1,1,1,1,1,1,1,1,0.90289,0.95638,1,1,1,1,0.99187,1,1,1,0.9978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99959,1,1,1,1,1,1,1,1,0.9993,1,1,1,1,1,1,1,1,0.99288,1,1,1,1,1,1,1,1,0.93906,1,1,1,1,1,1,1,1,0.96452,1,1,1,1,1,1,1,1,0.96999,0.9874,1,1,1,1,0.99687,1,1,0.99644,1,1,1,1,1,1,1,0.9413,0.91333,0.99938,1,1,1,1,1,1,1,0.99256,0.94812,1,1,0.9996,1,1,1,1,0.92445,1,1,1,1,1,1,1,0.98315,0.97594,1,1,1,1,1,1,1,0.99997,0.99929,1,1,1,1,1,1,1,1,0.97466,1,1,1,1,1,1,1,1,0.99997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96663,1,1,1,1,1,1,1,1,1,0.99969,1,1,1,1,1,1,1,0.97511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96784,0.97887,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96552,0.88793,0.96983,1,1,1,1,1,1,1,0.92241,0.94828,1,1,1,1,1,1,1,1,0.96552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.74138,0.97414,1,1,1,1,1,1,1,0.99138,1,1,1,1,1,1,1,0.92241,0.91379,0.96552,0.99138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97414,0.94828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.73276,0.91379,0.98276,1,1,1,1,1,1,1,1,0.99138,1,1,0.99138,1,1,1,1,0.93103,1,1,1,1,1,1,1,0.98707,0.97414,0.98276,1,1,1,1,1,0.99138,0.93534,0.97414,0.99138,1,1,1,1,1,1,1,1,1,0.99138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.90086,0.66379,0.93103,1,1,1,1,1,0.99138,0.6681,0.94828,0.90517,0.95259,0.68534,0.96552,1,1,1,0.97414,0.9569,0.99138,0.99138,1,0.96552,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85776,0.67241,0.93966,0.99138,1
0.98999,0.98983,0.98993,0.99071,0.97844,0.98965,0.98973,0.98924,0.99026,0.98934,0.98912,0.98946,0.99023,0.98071,0.98893,0.98858,0.98929,0.99029,0.9898,0.98998,0.99075,0.99104,0.88805,0.93807,0.9886,0.99032,0.99133,0.98988,0.9806,0.98861,0.99133,0.99012,0.98737,0.991,0.99099,0.99098,0.99135,0.98945,0.98963,0.99029,0.9913,0.99148,0.99032,0.98995,0.99021,0.98942,0.98965,0.98927,0.99037,0.98851,0.98894,0.98999,0.98926,0.99042,0.99027,0.98963,0.98953,0.99197,0.98785,0.98974,0.98997,0.98998,0.98982,0.98985,0.99002,0.99081,0.99171,0.98291,0.98896,0.9886,0.98959,0.98921,0.98985,0.99002,0.99073,0.98977,0.9229,0.98939,0.98955,0.98989,0.99133,0.98889,0.98978,0.9898,0.99076,0.94891,0.98987,0.98979,0.98943,0.98985,0.98995,0.98928,0.99072,0.98993,0.95346,0.97306,0.98862,0.98923,0.99058,0.98963,0.98639,0.98919,0.98997,0.98465,0.98964,0.98929,0.99014,0.98986,0.99077,0.99075,0.99114,0.92479,0.899,0.98905,0.98997,0.99133,0.99064,0.9902,0.98972,0.99006,0.99023,0.98147,0.93525,0.98931,0.99015,0.98916,0.98958,0.98977,0.99048,0.99071,0.90877,0.98893,0.98964,0.98998,0.99168,0.98933,0.98954,0.9912,0.96738,0.9589,0.98887,0.98884,0.9897,0.99097,0.98979,0.98954,0.99094,0.99025,0.98946,0.98887,0.98963,0.98984,0.99202,0.99047,0.98996,0.99085,0.99049,0.96418,0.98964,0.98848,0.9892,0.98994,0.98924,0.98941,0.98962,0.9904,0.98914,0.98825,0.98998,0.98963,0.98997,0.98907,0.98928,0.98977,0.9914,0.99073,0.98956,0.99032,0.99012,0.99167,0.98954,0.99007,0.99025,0.99185,0.9536,0.99054,0.99098,0.99202,0.98991,0.99113,0.99177,0.99159,0.98957,0.98837,0.98765,0.98996,0.98808,0.98836,0.98941,0.98951,0.99249,0.99273,0.96232,0.99089,0.99056,0.991,0.99151,0.99019,0.98954,0.99024,0.99032,0.99053,0.98965,0.98959,0.98937,0.99005,0.98968,0.98907,0.99007,0.99101,0.95053,0.95984,0.98827,0.99057,0.99063
0.77269,0.48423,0.77984,3.9222,19.24,0.86388,0.68979,0.66973,1.2411,0.38363,0.14703,0.17558,0.90186,12.746,0.50485,0.52749,0.60129,1.5641,0.18992,0.13873,0.42208,4.1035,12.582,6.6067,1.2895,0.88906,0.96029,0.34858,0.11153,0.20429,0.81351,6.3147,4.7162,2.1046,1.1459,2.1245,0.95372,0.28793,0.35485,1.1839,7.82,3.7142,0.92711,1.3949,1.2189,0.32095,0.29677,0.40479,1.7512,12.207,1.2663,0.6413,0.68748,1.7219,0.60845,0.46989,0.5304,1.177,4.5938,9.1206,1.5819,1.1747,0.61139,0.44942,0.27725,0.63267,2.3547,16.641,0.70924,0.68938,0.67742,0.93368,0.37064,0.33576,1.8929,11.17,24.449,4.3355,2.4277,0.96475,3.5715,0.47,0.30909,0.3238,0.83855,12.007,1.1085,0.73915,0.67454,0.7451,0.37355,0.1506,0.19843,3.6907,9.52,9.2742,1.1156,0.76281,1.5799,0.40774,0.22715,0.29184,0.43888,3.4685,4.7306,0.97531,0.74953,0.75243,0.48366,0.34959,2.1508,11.472,22.9,2.4177,0.89385,1.5864,2.5019,0.3171,0.17007,0.20769,0.93611,4.6075,10.431,1.0461,0.56351,13.864,0.39109,0.17669,0.20633,0.46293,12.528,0.89611,0.50751,0.49335,2.0458,0.46043,0.56764,2.3249,7.8289,13.639,16.667,0.95101,0.98397,3.0706,0.42042,0.32197,3.5288,8.6472,16.827,3.0136,1.5391,0.98102,3.8359,0.52706,0.26765,0.6769,1.1902,15.285,1.4893,2.5073,0.59195,1.1017,0.42228,0.21806,0.14013,0.27373,7.7504,1.5846,0.7006,0.65956,0.96949,0.39957,0.1742,0.16915,1.8883,7.5784,5.7949,2.7456,3.4144,4.0466,0.39783,0.35289,1.7027,10.58,16.21,3.6026,2.7095,2.6561,0.96621,0.7141,1.0064,1.6133,3.3439,9.0024,7.3232,4.2871,3.6482,4.3704,0.40107,0.1768,1.0937,1.5251,9.0294,2.7723,1.6678,1.3502,2.4134,0.33151,0.42776,1.8382,6.6433,10.638,1.0754,0.65635,0.6184,0.77314,0.44259,0.42678,0.67296,1.8439,13.695,5.6648,3.4614,2.7786,2.2731
